feature,importance
itc_exceeds_tax,0.14925879096769037
max_itc_ratio,0.14037856410684177
net_tax_ratio,0.10051220957874117
avg_itc_ratio,0.07741554508848542
total_tax_paid,0.057641452045382756
max_consecutive_miss,0.05275155206443214
compliance_trend,0.04348950084307118
top_buyer_share,0.04081953279966458
missing_returns,0.028577846386737715
seasonal_std,0.026719032109857797
filing_rate,0.02634806818574168
max_mom_jump,0.019726489508688126
sales_volatility,0.016775364644221732
avg_invoice_size,0.01638734070012816
itc_trend,0.014632019145719816
spike_ratio,0.014143237573673261
itc_volatility,0.012638850935590853
min_monthly_sales,0.011242792781749807
avg_monthly_sales,0.010795621842855681
total_received_amt,0.009509498605735097
total_tax_collected,0.009387040522534104
total_issued_amt,0.009045428343263821
total_outward_supply,0.00870053768427714
amount_imbalance,0.007591225431408307
total_itc_claimed,0.0074009429201171775
invoice_match_rate,0.0073069893893951245
turnover_per_year,0.00630957155534822
state_encoded,0.005886633955762116
max_monthly_sales,0.005783186221042782
delay_std,0.005611574698730299
unique_buyers,0.0055609512260753075
annual_turnover,0.0053949682444944325
invoices_issued,0.005281413584129942
avg_delay_days,0.00523529416768253
years_old,0.004918037000326251
max_acceleration,0.00483629676679644
invoices_received,0.004793633848370937
unique_suppliers,0.004745227756708396
max_delay_days,0.004255827233227447
industry_encoded,0.0037530144761359742
companies_same_address,0.003247314967893735
late_filings_count,0.003166054627201186
very_late_filings,0.0013547545002272725
size_encoded,0.0004430753948544765
new_high_turnover,0.00022769556898731232
zero_sales_months,0.0
